时间,商品名称,库存变化,单笔销量
2026-08-20 17:49:55,kkt,初始销量：2500,0
2026-08-20 17:49:55,line,初始销量：2500,0
2026-08-21 03:34:00,kkt,2500->2498,2
2026-08-21 07:40:06,kkt,2498->2493,5
2026-08-21 10:08:21,kkt,2493->2488,5
2026-08-21 13:57:10,kkt,2488->2487,1
2026-08-22 12:10:51,kkt,2487->2467,20
2026-08-22 14:48:37,line,2500->2469,31
2026-08-22 16:07:24,kkt,2467->2447,20
2026-08-22 17:40:50,line,2469->2464,5
2026-08-22 18:00:04,line,2464->2469,-5
2026-08-22 21:35:44,line,2469->2452,17
2026-08-22 21:36:25,kkt,2447->2427,20
2026-08-22 22:34:38,line,2452->2447,5
2026-08-22 22:40:47,line,2447->2441,6
2026-08-22 22:41:29,line,2441->2446,-5
2026-08-22 22:43:45,line,2446->2440,6
2026-08-22 22:48:34,kkt,2427->2420,7
2026-08-22 22:57:58,kkt,2420->2413,7
2026-08-22 22:58:39,kkt,2413->2405,8
2026-08-22 23:00:05,kkt,2405->2394,11
2026-08-22 23:00:05,line,2440->2423,17
2026-08-22 23:00:26,kkt,2394->2402,-8
2026-08-22 23:03:31,line,2423->2429,-6
2026-08-22 23:15:25,kkt,2402->2409,-7
